path,header,row_count,sha256,scope
fontes/catalogo.csv,id|path|source_url|institution|document_type|version_or_date|accessed_at|sha256|status|notes,10,bc6bc33403562301ee9883bc9258e7ad0549b6516d72473cd771e412844504b5,curated global source catalog
administracao/dados/fontes.csv,arquivo|sha256|tamanho_bytes|instituicao|data_consulta|tipo|caminho_local|url_oficial|status,54,cb6ccee931115ba173f726a6acfd1af9b111e20f1fa4752451703b44d2475b45,administrative data or historical series
administracao/dados/inep/fontes/manifesto-fontes-volumosas.csv,id|title|institution|source_url|accessed_at|document_date|document_type|local_path|sha256|version_or_validity|purpose|status|notes,22,f1a305b3d0af811ffb984dd8fd518be289aa7d7f85e1ec5348b030061c5b7711,administrative data or historical series
administracao/dados/inep/trajetoria_informatica_biomedica_ufpr.csv,CO_IES|NO_IES|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_CURSO|NO_CURSO|CO_REGIAO|CO_UF|CO_MUNICIPIO|TP_GRAU_ACADEMICO|TP_MODALIDADE_ENSINO|CO_CINE_ROTULO|NO_CINE_ROTULO|CO_CINE_AREA_GERAL|NO_CINE_AREA_GERAL|NU_ANO_INGRESSO|NU_ANO_REFERENCIA|NU_PRAZO_INTEGRALIZACAO|NU_ANO_INTEGRALIZACAO|NU_PRAZO_ACOMPANHAMENTO|NU_ANO_MAXIMO_ACOMPANHAMENTO|QT_INGRESSANTE|QT_PERMANENCIA|QT_CONCLUINTE|QT_DESISTENCIA|QT_FALECIDO|TAP|TCA|TDA|TCAN|TADA|ARQUIVO_FONTE,85,b8ce653a1b226a284419fa1f0b75c194773e4fd3f0776bf52b62dae290c3c41b,administrative data or historical series
administracao/dados/inep/trajetoria_informatica_biomedica_ufpr_resumo_coortes_2011_2020.csv,coorte_ingresso|ingressantes|prazo_integralizacao_anos|ano_esperado_integralizacao|observacao_ano_esperado_disponivel|ultima_observacao_ano|ano_esperado_permanencia|ano_esperado_concluintes_ano|ano_esperado_desistencias_ano|ano_esperado_tap|ano_esperado_tca_acumulada|ano_esperado_tda_acumulada|ano_esperado_tcan_anual|ano_esperado_tada_anual|ultima_observacao_permanencia|ultima_observacao_concluintes_ano|ultima_observacao_desistencias_ano|ultima_observacao_tap|ultima_observacao_tca_acumulada|ultima_observacao_tda_acumulada|ultima_observacao_tcan_anual|ultima_observacao_tada_anual,10,f43129bc844802fefd40635adaf125c7c8446ae209a3c3ab590d14736eddb0c7,administrative data or historical series
administracao/dados/inep/trajetoria_informatica_biomedica_ufpr_serie_anual_2011_2020.csv,ano_referencia|coortes_observadas|ingressantes_novas_coortes|permanencia_ativa_nas_coortes|concluintes_anuais_nas_coortes|desistencias_anuais_nas_coortes|falecidos_anuais_nas_coortes,10,0e7f510a817db487f7e7a2fe50b89ebd16cdce1329105397f93404d8d4788666,administrative data or historical series
administracao/dados/ufpr/candidatos_ocupacao_nc.csv,ano_referencia|processo|indicador|valor|definicao|url|cobertura,2,7005c5d3525dffc868c2b02fe4737711f4ebe36fb9c44ac521c290639828d26e,administrative data or historical series
administracao/dados/ufpr/serie_anual_ingressantes_procura_observatorio.csv,ano|ingressantes|candidatos_por_vaga|filtro_painel|fonte|observacao,12,7acb167d6c77f46891f85df0b95fd92f03ad430bdc3ce5b1114c2d83c778dfd9,administrative data or historical series
administracao/dados/ufpr/vagas_oficiais_por_processo.csv,processo_seletivo|curso|campus|ps_ufpr_vagas|sisu_vagas|total_vagas|situacao|fonte|observacao,9,dcc0a8246d1cdd0de04201544a86fb0681cbda58bc884cdf8dccac3b3cc6841b,administrative data or historical series
administracao/dados/ufpr/w026/buscas.csv,search_id|accessed_at|domains|terms|target|result|limits,30,eae0ce88d8f6f4a58beea13b15ad4e11c427e796e81bfdf6b9089323b2cb9151,administrative data or historical series
administracao/dados/ufpr/w026/manifesto.csv,record_id|title|institution|source_url|accessed_at|document_date|document_type|local_path|sha256|evidentiary_purpose,7,527530cd7a461a6c3418d5fe84c8ceda3280f8a3b2d5ed480812dededd77f431,administrative data or historical series
administracao/historico/atos-originais/buscas.csv,search_id|target_id|accessed_at|domains|terms_or_url|result|limits,8,356e3cc3a83962d460cac02e674beb987fe7f29f3dd1badc53b3bfc6ff7b4df6,administrative data or historical series
administracao/historico/atos-originais/checkpoint.csv,local_path|sha256|status|source_url|notes,1,18bde169a22fc43e07bb21ac131d75be05870e4c24ca9906c34a5b14c74509a7,administrative data or historical series
administracao/historico/atos-originais/dados-portaria-44.csv,evidence_id|pdf_page|annex_row|act_number|act_date|emec_record|course|institution|maintainer|annual_seats_as_printed|address_as_printed|scope|limits,1,a58008ef6581d15820a556f873126013f2fc17380843c1e1bbaf0e071875821f,administrative data or historical series
administracao/historico/atos-originais/manifesto.csv,id|title|institution|source_url|accessed_at|document_date|document_type|local_path|sha256|version_or_validity|purpose|status|notes,1,f1e909546a32013e9b3764b05d74cd6434528aa70691ad182e047873b6f577b2,administrative data or historical series
administracao/historico/atos-originais/registros.csv,target_id|target|status|evidence_id|evidence_path|locator|limits,2,b52d9acef8311ce9fab582f52857ff5500928d6bf9cc3e00e7fc0ae505eabf29,administrative data or historical series
administracao/historico/avaliacoes.csv,id|evaluation_front|status|source_id|reference_period|universe|denominator|measure_or_finding|local_path|sha256|comparability_notes,5,70f1fb348c64512db551674fea98947fbb3fc3b4e699e0d24d752acfa95892f8,administrative data or historical series
administracao/historico/buscas-negativas.csv,id|target|access_date|official_domains_and_systems|queries_or_terms|result|limits,11,4c65fc263848a183a0ff2adcd05aeb90c9023433ac007255f49ac8bddf8a83fd,administrative data or historical series
administracao/historico/fontes/manifesto.csv,id|title|institution|source_url|accessed_at|document_date|document_type|local_path|sha256|version_or_validity|purpose|status|notes,10,fc04491f08f52fc64e51045c7f7e283add03bf73bd8ce43737b95ba2b945e736,administrative data or historical series
administracao/historico/series-complementares.csv,id|series_front|status|reference_period|universe|denominator|value|unit|source_id|local_path|comparability_notes,5,18b425a0584550904ef2f031fa3ea67072c83136ed659fe52b22b560f6166294,administrative data or historical series
administracao/historico/transicoes.csv,id|object|stage|status|evidence_class|source_id|act_or_record|document_date|local_path|sha256|established|limits,9,d92f8d1bb389e69123c5402cf940d65dab9ca2f5249e3a157cfac918c1c2b109,administrative data or historical series
curriculos/2011/fichas/manifesto.csv,record_id|code|document_type|term_class|document_date|source_url|local_path|sha256|applicability|status|notes,1,30ebe892796e3fa7d3af6cc35d1adb5f3386913f9c3e642f266fa79cd59d222e,repository dataset
curriculos/2011/fichas/w022-ci055/buscas-negativas.csv,search_id|accessed_at|domains|terms|targets|result|limits|applicability_consequence,3,6ca3fde86252a0a07923d023b4dae0b7ba00ffe826b3849fc8ccb1886b24d6f8,repository dataset
curriculos/2011/fichas/w022-ci055/manifesto.csv,record_id|title|institution|source_url|accessed_at|document_date|document_type|local_path|sha256|version_or_validity|purpose|status|notes,4,df79d5813358e486bfddc2931bbeb3d56456cfd80770d7abda4822449a9bf6f7,repository dataset
curriculos/2011/fichas/w022-ci056/buscas-negativas.csv,search_id|accessed_at|domains|terms|targets|result|limits|applicability_consequence,3,00eb2eac19f22a43e439bf09628f2d4b43cb4e4e67b1bf13d1ab91ab595ee64f,repository dataset
curriculos/2011/fichas/w022-ci056/manifesto.csv,record_id|title|institution|source_url|accessed_at|document_date|document_type|local_path|sha256|version_or_validity|purpose|status|notes,2,55e6e37d25511d823c17bc6d15dc3cd9b955c00731b291c682ce8a56c83b0bea,repository dataset
curriculos/2011/fichas/w022-ci057/buscas-negativas.csv,search_id|accessed_at|domains|terms|targets|result|limits|applicability_consequence,3,d7f68a5390752fd53b8d43eaa7a6597a69c14f8296ccda27675684b1006546fe,repository dataset
